H2S_CONCENTRATION,StrokeLength,GrossStrokeLength,Fillage,YesterdaysAverageSPM,max_unguided_dls,gas_anchor_length,MAX_INCLINATION,wellbore_category,packer_vs_tac,AVG_PRESS_FLOWLINE,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_DIFFERENTIAL_PRESSURE,AVG_LIQUID_VOLUME,AVG_WATERSG,rod_has_guides,rod_make,overall_max_sideload,DESANDDEGAS_TYP,CHROME_LENGTH,ENDURALLOY_LENGTH,POLY_LENGTH,NIPPLE_SET_DEPTH,pump_bore,FAILED,lifetime_duration_days,WaterRatio,chemgroup1_score,chemgroup2_score,chemgroup3_score,bha_configuration_PACKER_DONNAN,bha_configuration_PACKER_TAC_DONNAN,bha_configuration_TAC_ABOVE_NIP,bha_configuration_TAC_BELOW_NIP,bha_configuration_UNKNOWN,rod_sinker_type_SLICK_SINKER_BARS,rod_sinker_type_SUCKER_RODS_W_GUIDES,rod_sinker_type_UNKNOWN,rod_apigrade_D,rod_apigrade_Fiberglass,rod_apigrade_K,rod_apigrade_SpecialService,rod_apigrade_UNKNOWN,rod_apigrade_Unknown,ROUTE_870,ROUTE_871,ROUTE_872,ROUTE_873,ROUTE_874,ROUTE_875,ROUTE_880,ROUTE_881,ROUTE_882,ROUTE_883,ROUTE_884,ROUTE_885,ROUTE_886,ROUTE_900,ROUTE_901,ROUTE_902,ROUTE_903,ROUTE_904,ROUTE_905,risk_score
-0.030182602107750468,-0.2510661397739409,-0.03857182310340391,0.1547988952972292,0.18857471935082673,-0.3236701627983833,3.328048523238908,-0.3699114922514988,Vertical,OTHER_PACKER,0.0764870614883045,-0.8630790763979308,-0.4474573990856698,-0.2156753075973145,0.3707166588624573,-0.35447846102890435,-0.7654058752362396,synthesize holistic partnerships,-0.1284897799289978,UNKNOWN,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,-0.8056410730370742,0.7024491209376963,1,1083.0,-1.9071810508898734,-0.8659951886753633,-0.4149524155317648,-0.22623941166199216,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0288871049608177
-0.030182602107750468,-0.2510661397739409,-0.03857182310340391,0.1547988952972292,0.18857471935082673,0.3455100943081357,3.2405732373156364,-0.44056337303143756,Vertical,OTHER_ANCHOR,0.0764870614883045,-0.13303667124588447,-0.20818471980013042,-0.12254583063818597,0.0783141369324438,-0.35447846102890435,-0.7654058752362396,mesh enterprise portals,-0.07964383840621674,UNKNOWN,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,0.7136097925581446,0.7024491209376963,1,510.0,1.2650374431820455,-0.8659951886753633,-0.4149524155317648,-0.22623941166199216,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.456217989961409
-0.030182602107750468,0.8207728645086299,1.1231035959475593,0.33226637510588386,0.48504250319271,-0.1448382406344792,0.4800826569500959,-0.3572091656776292,Vertical,OTHER_ANCHOR,-0.9131504319637075,-0.320424586411495,-0.38423816759099244,-0.1930535724769614,-0.5360393732883796,-0.35447846102890435,-0.7654058752362396,mesh enterprise portals,-0.07291235247867077,West-Washington,-0.08302969325705788,0.9963874366451041,-0.10892633567348302,0.44189177288269926,0.7024491209376963,1,330.96,-0.8911211743503568,0.6848523451789876,-0.4149524155317648,-0.22623941166199216,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.9648952213156802
-0.030182602107750468,-0.2510661397739409,0.651191804119097,-0.17839599174423834,0.823773948640611,-0.09078798094353728,0.28075372673149307,-0.394842110714317,Vertical,OTHER_ANCHOR,0.10170047622404334,-0.287463310522054,-0.7138898436654088,-0.5343084258897596,-0.3987297171904881,-0.35447846102890435,1.3064963731711021,mesh enterprise portals,-0.13567208806472064,UNKNOWN,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,0.2386311826018443,0.7024491209376963,0,97.62,-0.5150461091157992,-0.8659951886753633,-0.4149524155317648,-0.22623941166199216,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9396798529125973
-0.030182602107750468,-0.2510661397739409,-0.03857182310340391,0.1547988952972292,0.18857471935082673,-0.216827677802541,0.49729090991860797,-0.2897917810004973,Vertical,arrowset,0.0764870614883045,0.7003923315481763,1.496320928276058,1.2295150050008266,-0.03756249980290708,-0.35447846102890435,-0.7654058752362396,strategize next-generation users,-0.40185043114493507,UNKNOWN,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,-0.2162885761633175,-0.5970565392607556,0,127.0,-1.4507654501817406,-0.8659951886753633,-0.4149524155317648,-0.22623941166199216,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3224127132154266
-0.030182602107750468,-0.24905838497282506,0.4534012359139853,0.07379314228460253,0.27359592272159866,-0.06269884762390524,0.2821877478122022,-0.39607247436260906,Vertical,OTHER_ANCHOR,0.031147754467610284,-0.3268967665397143,-0.3067931523993521,-0.11217075315432909,0.35483753346293495,-0.35447846102890435,1.3064963731711021,mesh enterprise portals,-0.15755131157563043,UNKNOWN,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,0.2898253069279006,0.7024491209376963,1,297.54,0.01759353517993041,0.6848523451789876,-0.4149524155317648,-0.22623941166199216,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.4279034638911705
-0.030182602107750468,-0.2510661397739409,0.41665630134139475,0.4752769011970093,-0.7315701987311763,0.07920154253970413,-0.0218247212981843,-0.0323116976828166,LowTangent,OTHER_ANCHOR,-0.13937013221523292,0.1332834777002006,-0.2618598424663714,-0.28298250790343676,-0.5518047627228235,-0.35447846102890435,1.3064963731711021,strategize next-generation users,-0.1284897799289978,Miller LLC,-0.08302969325705788,0.12252833913878636,-0.10892633567348302,0.40625921923497094,-1.8965621994592075,1,737.86,0.5440144276899713,0.6848523451789876,-0.4149524155317648,-0.22623941166199216,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8896435766933128
-0.030182602107750468,-0.2491972484507133,-0.004297882697357143,-0.8132950591074939,0.9557238157379592,-0.2563408307296247,-0.013220594813928252,-0.445256741350726,Vertical,OTHER_ANCHOR,0.032520071760425685,-0.23087366868453235,-0.11557760201259933,0.020597681302815817,-0.516172477112596,1.247563504260618,-0.7654058752362396,strategize next-generation users,-0.7305223237673866,Bender-King,-0.08302969325705788,0.4982840254149847,-0.10892633567348302,-0.356260581455549,-0.5970565392607556,0,1117.07,-0.8342279675627735,0.6848523451789876,-0.4149524155317648,-0.22623941166199216,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3618343440191827
-0.02146544602724243,-0.2510661397739409,-0.48627123731278027,-0.09949954567110625,0.27359592272159866,-0.3340958536273241,-0.02469276345960298,-0.5021375600700754,Vertical,OTHER_ANCHOR,0.0666252947081375,-0.20934020688888236,-0.05101706659967994,0.07689713399558493,-0.32308385972452835,-0.35447846102890435,-0.7654058752362396,strategize next-generation users,-0.889236097530752,Miller LLC,-0.08302969325705788,0.7730759362726014,-0.10892633567348302,0.17390807469500016,0.7024491209376963,1,485.21,-0.6783536304644074,0.6848523451789876,-0.4149524155317648,-0.22623941166199216,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8185945224859412
-0.030182602107750468,-0.12232606845427939,0.2831709003785253,0.4346510731650126,-0.2838633632771279,0.21858463316455534,-0.020390700217475213,0.9543547414322372,HighTangent,OTHER_ANCHOR,2.0654542220240737,0.40535498337399894,0.3320238238066323,0.07397208884082421,0.2290005161917186,-0.35447846102890435,1.3064963731711021,mesh enterprise portals,-0.1284897799289978,Miller LLC,-0.08302969325705788,-0.3290243050236202,-0.10892633567348302,-0.9992218269467167,0.7024491209376963,1,1102.65,-0.7034861355950528,0.6848523451789876,-0.4149524155317648,-0.22623941166199216,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8489412901547948
